title,year,engine_size,fuel_type,milage,price
**2013 320D M sport Auto**,2013,2.0,Diesel,1,
BMW 316 2.0D F30 Sport 2016,2016,2.0,Diesel,45000,16750
Bmw 318d,2008,2.0,Diesel,161000,2200
BMW 335i,2007,3.0,Petrol,167000,7500
🚘For Sale bmw e92 m-sport 🚘,2007,2.5,Petrol,154000,
2005 Bmw 320,2005,2.0,Petrol,270000,
BMW 3-Series 318 D 2015 TOURING EDITION,2015,2.0,Diesel,120000,11950
BMW 3-Series 2010,2010,2.0,Diesel,160000,5450
BMW 3-Series 2005 NCT SEP 2020,2005,2.0,Petrol,160000,1700
BMW 3-Series 2007 M SPORT,2007,2.0,Petrol,164858,
Bmw E92 M Sport,2008,2.0,Diesel,189000,
BMW  320    CABRIO,2008,2.0,Petrol,160000,
Bmw,2007,2.0,Diesel,130000,
€87 PER WEEK ON FINANCE 162 BMW 320D M SPORT,2016,2.0,Diesel,67135,87
Bmw 318 Nct,2006,2.0,Petrol,189000,
BMW 320D BUSINESS EXECUTIVE  NAV/PHONE/PDC/ AUTO,2011,2.0,Diesel,206000,7200
BMW F30 320d New 2016 Facelift Model low nox,2015,2.0,Diesel,130,
BMW 3 Series 318 F30 D SE 4DR,2016,2.0,Diesel,89308,18995
BMW 318d 2008,2008,2.0,Diesel,135000,3250
2011 BMW 320D 184BHP TOURING,2011,2.0,Diesel,104000,7999
07 BMW petrol NCT till October taxed till April,2007,2.0,Petrol,140000,
BMW 3 Series 318 SE Auto  Full BMW History,2017,2.0,Diesel,44343,26450
2006 BMW 325 *NEW NCT* *LEATHER* 108000 MILES,2006,2.5,Petrol,108900,2495
BMW 3 Series 330e Sport Saloon,2020,2.0,Hybrid,64,45465
BMW 320d INDIVIDUAL MINT NEW NCT &TAX,2008,2.0,Diesel,156091,
€€2017 BMW 320 DM sport auto€€,2017,2.0,Diesel,39135,
BME 320 CD,2004,2.0,Diesel,169000,
Bmw 320d Msport F30,2012,2.0,Diesel,140000,
BMW 320D 2005,2005,2.0,Diesel,129700,1200
BMW 320D *FACELIFT* 184BHP,2011,2.0,Diesel,154000,6250
2017 (171) BMW 3 Series 318D AUTO LOW KM HIGH SPEC,2017,2.0,Diesel,26090,19990
BMW 316d,2012,2.0,Diesel,2,
Bmw 318d,2008,2.0,Diesel,170000,
2005 BMW 318!!AUTO!!((NCT 02/21)),2005,1.8,Petrol,135000,
Bmw,2008,2.0,Diesel,193900,2450
2014 BMW 3-Series 318d Msport Spec Alloys,2014,2.0,Diesel,97577,14495
BMW 330e M Sport Plus Petrol Plugin Hybrid *,2016,2.0,Hybrid,46500,23950
2012 bmw f30,2012,2.0,Diesel,140000,11250
BMW 3-Series 2014  320 X-Drive 2.0,2014,2.0,Diesel,126000,13999
BMW 3-Series 2014 Dynamic,2014,2.0,Diesel,56000,14999
2008 bmw 320d e92 Nct'd automatic cheap tax,2008,2.0,Diesel,167000,
2011 BMW 320D AUTOMATIC NCT & TAX,2011,2.0,Diesel,188000,5900
BMW 335d xDrive M Sport Touring 2016,2016,3.0,Diesel,38600,
BMW 3 Series 316i 1.6 Se New Model Only 63750 Mil,2013,1.6,Petrol,102222,11949
07 318D BMW,2007,2.0,Diesel,282000,
2013 BMW 320d M SPORT,2013,2.0,Diesel,125000,
BMW 320D Saloon,2008,2.0,Diesel,318089,
BMW 320d efficient dynamics Dec 2011,2011,2.0,Diesel,160000,
BMW 320d m sport plus performance new model 2015,2015,2.0,Diesel,131000,
BMW 320d m sport auto paddle shift late 2017,2017,2.0,Diesel,93066,
BMW 3 Series 316 SE Z3ap 4DR Auto,2015,2.0,Diesel,144335,17995
2007 BMW 320i SE convertible,2007,2.0,Petrol,120000,
BMW 318D,2009,2.0,Diesel,209000,
2009 BMW 335d M-Sport 360bhp 77k mls NCT'd,2009,3.0,Diesel,77000,14000
BMW 330E Sport Plug-In Hybrid Auto 252BHP,2016,2.0,Hybrid,146000,16000
BMW 3 Series 316i,2007,1.6,Petrol,195996,
BMW 318i **Only 53k Miles/Long NCT/Tax/Big Spec**,2007,2.0,Petrol,53000,
BMW 320d F30 sport. VRT PAID,2012,2.0,Diesel,126,
BMW 318tds e36,1995,1.7,Diesel,196000,
06 BMW 320 M-Sport For Sale,2006,2.0,Diesel,190625,1495
171 BMW 320d SPORT M-PERFORMANCE AUTO,2017,2.0,Diesel,115000,
BMW 320d M sport,2013,2.0,Diesel,95000,
BMW 3 Series 320Cd Coupe SE,2008,2.0,Diesel,90000,
BMW 3 Series 330E M-sport Hybrid Automatic  top S,2017,2.0,Hybrid,46000,
BMW 3 series m sport,2008,2.0,Diesel,138000,
BMW 3 Series 330E M-sport Hybrid Automatic  top S,2017,2.0,Petrol,46000,
2010 BMW 320d2keys2ownersncttaxonly 117 k  km,2010,2.0,Diesel,117000,6650
BMW 3 Series 320i SE Highline,2009,94000,mi,2,7945
BMW 3 Series 316 SE Auto  free Nationwide Deliver,2015,2.0,Diesel,90540,19475
BMW 318d Sport,2012,2.0,Diesel,120000,10495
2016 BMW 320 D Efficient Dynamics *From €80 PW*,2016,2.0,Diesel,72000,19950
Bmw 318d.  Non runner. 650 euro,2008,2.0,Diesel,200000,
2011 BMW 320D M SPORT,2011,2.0,Diesel,83682,
BMW 3 Series 316D Sport  full Leather Interior,2016,2.0,Diesel,30550,21000
2017 BMW 330 E M SPORT AUTO+..MEGA SPEC.FINANCE!,2017,2.0,Hybrid,65000,24950
BMW 320D M-Sport New NCT 1/22,2011,2.0,Diesel,97000,
BMW 3-Series 2011 MSPORT PLUS,2011,2.0,Diesel,108000,9995
BMW 320D ED M Preformance Kitted,2012,2.0,Diesel,139000,
BMW 3 Series 10200 miles. Passed NCT recently,2007,1.6,Petrol,2,
BMW 316i e30.€56 tax.,1990,1.6,Petrol,156000,
Bmw320d,2009,2.0,Diesel,2,
2014 BMW 320D M-Sport 96k Miles,2014,2.0,Diesel,96000,9450
BMW 318,2009,2.0,Diesel,100000,4500
Bmw 320d 2014,2014,2.0,Diesel,78000,
BMW 330d XDrive,2013,3.0,Diesel,84450,15750
BMW 3-Series 2007,2007,2.0,Petrol,55000,3500
BMW 320 CI DIESEL AUTO M SPORT,2007,2.0,Diesel,94000,2950
BMW 3 Series 330e M Sport,2017,2.0,Hybrid,65000,31995
BMW 320D NEW NCT,2008,2.0,Diesel,171000,2950
BMW 318 M sport cabriolet 2008,2008,2.0,Petrol,47000,
BMW 320D MSPORT,2014,2.0,Diesel,67000,
06 BMW 316i SE..Driving well..NCT'd,2006,1.6,Petrol,230000,999
06  3  SERIES  BMW  320  E  M SPORT,2006,2.0,Petrol,147544,
BMW,2006,2.0,Petrol,82000,
2015 BMW 3-Series 320d F30 M-Performance 152💥💥,2015,2.0,Diesel,98000,18900
2014 BMW 3-Series 320d F30 M-Performance,2014,2.0,Diesel,128000,14900
BMW 3 Series 330e Sport,2020,2.0,Hybrid,2,45465
BMW 3-Series 2008+Auto+Nct07/20+Tax08/20+Warranty,2008,2.0,Diesel,165000,6194
BMW 3-Series 2011 COUPE M-SPORT AUTOMATIC,2011,2.0,Petrol,128000,7950
2013 320D M SPORT X DRIVE AUTO,2013,2.0,Diesel,170000,
2002 Bmw 318 Ci Coupe 49000Mls 1 Owner.,2002,2.0,Petrol,49000,
BMW 320D,2008,2.0,Diesel,197126,3250
BMW 3 Series 318D 150HP Sport  69 per Week,2017,2.0,Diesel,77700,21995
BMW 320d 3-Series F30 2013,2013,2.0,Diesel,138000,8999
BME 320 CD,2004,2.0,Diesel,169000,
BMW 320D Automatic Diesel 'NEW NCT,2013,2.0,Diesel,214000,
142 bmw 3 series msport f30,2014,2.0,Diesel,153,
BMW 320D Genuine Sport,2012,2.0,Diesel,75000,
2007 BMW 320i convertible with low mileage,2007,2.0,Petrol,60336,7750
2005 BMW 3 series Convertible/Hardtop,2005,2.0,Petrol,99422,
2011  BMW 320D EFENCY,2011,2.0,Diesel,3,
